Date,Country,Population,Cases1,Deaths1,Covid,Cases2,Deaths2
06-08-2021,Republic of Guinea,,1,0,13-03-2020,0,0
07-08-2021,Republic of Guinea,,0,0,14-03-2020,0,0
09-08-2021,Republic of Guinea,,1,0,15-03-2020,0,0
10-08-2021,Republic of Guinea,,0,0,16-03-2020,0,0
11-08-2021,Republic of Guinea,,0,0,17-03-2020,0,0
15-08-2021,Republic of Guinea,,0,0,18-03-2020,0,0
16-08-2021,Republic of Guinea,,0,0,19-03-2020,1,0
19-08-2021,Republic of Guinea,,0,0,20-03-2020,0,0
24-08-2021,Republic of Guinea,,1,0,21-03-2020,0,0
27-08-2021,Republic of Guinea,,0,0,22-03-2020,2,0
30-08-2021,Republic of Guinea,,0,0,23-03-2020,0,0
01-09-2021,Republic of Guinea,,0,0,24-03-2020,0,0
03-09-2021,Republic of Guinea,,0,1,25-03-2020,0,0
04-09-2021,Republic of Guinea,,0,0,26-03-2020,1,0
06-09-2021,Republic of Guinea,,0,0,27-03-2020,3,0
08-09-2021,Republic of Guinea,,0,0,28-03-2020,0,0
09-09-2021,Republic of Guinea,,0,0,29-03-2020,1,0
11-09-2021,Republic of Guinea,,0,0,30-03-2020,7,0
13-09-2021,Republic of Guinea,,0,0,31-03-2020,0,0
15-09-2021,Republic of Guinea,,0,0,01-04-2020,6,0
07-07-2022,Ghana,,2,0,13-03-2020,0,0
09-07-2022,Ghana,,0,1,14-03-2020,1,0
10-07-2022,Ghana,,0,1,15-03-2020,2,0
25-07-2022,Ghana,,2,0,16-03-2020,1,1
28-07-2022,Ghana,,0,0,17-03-2020,4,0
30-07-2022,Ghana,,0,1,18-03-2020,3,1
